BORO,BLOCK,LOT,PARCEL_NAME,PARCEL_ADDRESS,JURIS,Jurisdiction Description,RPAD,RPAD_DESCRIPTION,PROP_FRONT,PROP_DEPTH,PROP_SQFT,IRREG,BLD_FRONT,BLD_DEPTH,BLD_SQFT,NUM_BLD,FLOORS,CD,COUNCIL_DISTRICT,COUNCILMEMBER_NAME,PR_ZONE,OV_ZONE,SD_ZONE,BBL,WATERFRONT,URBAN RENEWAL SITE,Agency,Owned/Leased,Primary Use Text,Final Commitment Text,Agreement (Lease-Out)
4,4206,100,COLLEGE POINT INDUSTRIAL PARK,130 STREET,EDC,ECONOMIC DEVELOPMENT CORPORATION,V9,VACANT LAND/MISC,145,30,4300,I,,,,,,7,,,M2-1,,CP,4042060100,,Y,EDC,O,NO USE-WFT (ANY AGY),,
4,4207,1,COLLEGE POINT INDUSTRIAL PARK,23 AVENUE,EDC,ECONOMIC DEVELOPMENT CORPORATION,V9,VACANT LAND/MISC,119,357,35987,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042070001,,Y,EDC,O,NO USE-WFT (ANY AGY),,
4,4208,1,FLUSHING AIRPORT,0  132 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,80,560,68100,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042080001,Y,,DSBS,O,NO USE-VACANT LAND,,
4,4208,1,FLUSHING AIRPORT,0  132 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,80,560,68100,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042080001,Y,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4209,1,FLUSHING AIRPORT,0  132 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,500,144400,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042090001,Y,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4209,1,FLUSHING AIRPORT,0  132 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,500,144400,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042090001,Y,,DSBS,O,NO USE-VACANT LAND,,
4,4210,1,FLUSHING AIRPORT,0  133 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,500,145600,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042100001,Y,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4210,1,FLUSHING AIRPORT,0  133 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,500,145600,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042100001,Y,,DSBS,O,NO USE-VACANT LAND,,
4,4211,1,FLUSHING AIRPORT,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,500,145600,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042110001,,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4211,1,FLUSHING AIRPORT,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,500,145600,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042110001,,,DSBS,O,NO USE-VACANT LAND,,
4,4212,1,FLUSHING AIRPORT,0  135 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,500,145600,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042120001,,,DSBS,O,NO USE-VACANT LAND,,
4,4212,1,FLUSHING AIRPORT,0  135 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,500,145600,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042120001,,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4213,1,FLUSHING AIRPORT,0  136 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,500,145600,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042130001,,,DSBS,O,NO USE-VACANT LAND,,
4,4213,1,FLUSHING AIRPORT,0  136 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,500,145600,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042130001,,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4222,5,,119 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V9,VACANT LAND/MISC,120,67,16800,I,,,,,,7,19,DANIEL HALLORAN,M1-1,,,4042220005,Y,,DCAS,O,IN USE-TENANTED,,SHORT-TERM AGREEMENT
4,4227,114,,123 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V9,VACANT LAND/MISC,10,30,,I,,,,,,7,19,DANIEL HALLORAN,R4A,,,4042270114,,,DCAS,O,NO USE-VACANT LAND,,
4,4234,3,,25TH AVENUE,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V9,VACANT LAND/MISC,5,7,18,I,,,,,,7,19,DANIEL HALLORAN,R4-1,,,4042340003,,,DCAS,O,NO USE-VACANT LAND,,
4,4234,103,,129 STREET,HPD,DEPT OF HOUSING PRESERVATION & DEVELOPMENT,V9,VACANT LAND/MISC,65,75,1600,I,,,,,,7,19,DANIEL HALLORAN,R4-1,,,4042340103,,Y,HPD,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
4,4235,1,COLLEGE POINT PARK,23-45 130 STREET,PARKS,DEPT OF PARKS & RECREATION,V9,VACANT LAND/MISC,675,310,156488,I,,,,,,7,19,DANIEL HALLORAN,PARK,,,4042350001,,,PARKS,O,RECREATIONL FACILITY,,
4,4236,1,COLLEGE POINT PARK,STRATTON STREET,PARKS,DEPT OF PARKS & RECREATION,V9,VACANT LAND/MISC,275,715,196625,I,,,,,,7,19,DANIEL HALLORAN,PARK,,,4042360001,,,PARKS,O,SPEC RECREATN-INDOOR,,
4,4237,1,COLLEGE POINT INDUSTRIAL PARK,0 FARRINGTON STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,V9,VACANT LAND/MISC,705,285,195000,I,,,,,,7,19,DANIEL HALLORAN,PARK,,,4042370001,,,PARKS,O,PARK,,
4,4237,1,COLLEGE POINT INDUSTRIAL PARK,0 FARRINGTON STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,V9,VACANT LAND/MISC,705,285,195000,I,,,,,,7,19,DANIEL HALLORAN,PARK,,,4042370001,,,EDC,O,IN USE-TENANTED,,LONG-TERM AGREEMENT
4,4237,100,COLLEGE POINT INDUSTRIAL PARK,0 FARRINGTON STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,V9,VACANT LAND/MISC,5,261,1305,,,,,,,7,19,DANIEL HALLORAN,PARK,,,4042370100,,,PARKS,O,PARK,,
4,4237,100,COLLEGE POINT INDUSTRIAL PARK,0 FARRINGTON STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,V9,VACANT LAND/MISC,5,261,1305,,,,,,,7,19,DANIEL HALLORAN,PARK,,,4042370100,,,EDC,O,IN USE-TENANTED,,LONG-TERM AGREEMENT
4,4239,1,FLUSHING AIRPORT,0  133 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,259,707,182000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042390001,Y,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4239,1,FLUSHING AIRPORT,0  133 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,259,707,182000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042390001,Y,,DSBS,O,NO USE-VACANT LAND,,
4,4240,1,FLUSHING AIRPORT,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,260,710,184400,,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042400001,,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4240,1,FLUSHING AIRPORT,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,260,710,184400,,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042400001,,,DSBS,O,NO USE-VACANT LAND,,
4,4241,1,FLUSHING AIRPORT,0  135 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,705,260,182600,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042410001,,,DSBS,O,NO USE-VACANT LAND,,
4,4241,1,FLUSHING AIRPORT,0  135 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,705,260,182600,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042410001,,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4242,1,FLUSHING AIRPORT,0  136 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,260,705,182000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042420001,Y,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4242,1,FLUSHING AIRPORT,0  136 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,260,705,182000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042420001,Y,,DSBS,O,NO USE-VACANT LAND,,
4,4243,1,COLLEGE PT IP/FLUSHING AIRPORT,0  138 STREET,EDC,ECONOMIC DEVELOPMENT CORPORATION,V9,VACANT LAND/MISC,270,535,144585,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042430001,,Y,EDC,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
4,4243,1,COLLEGE PT IP/FLUSHING AIRPORT,0  138 STREET,EDC,ECONOMIC DEVELOPMENT CORPORATION,V9,VACANT LAND/MISC,270,535,144585,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042430001,,Y,DSBS,O,NO USE-VACANT LAND,,
4,4251,1,,119 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V9,VACANT LAND/MISC,360,100,36000,,,,,,,7,19,DANIEL HALLORAN,R4,,,4042510001,Y,,DCAS,O,NO USE-VACANT LAND,,
4,4255,1,,119 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V9,VACANT LAND/MISC,200,300,60000,I,,,,,,7,19,DANIEL HALLORAN,R4,,,4042550001,Y,,DCAS,O,NO USE-VACANT LAND,,
4,4255,50,,119 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V9,VACANT LAND/MISC,10,10,100,,,,,,,7,19,DANIEL HALLORAN,R4,,,4042550050,Y,,DCAS,O,NO USE-VACANT LAND,,
4,4275,1,COLLEGE POINT SPORTS COMPLEX,25 AVENUE,PARKS,DEPT OF PARKS & RECREATION,V9,VACANT LAND/MISC,812,265,230359,I,,,,,,7,19,DANIEL HALLORAN,PARK,,,4042750001,,,PARKS,O,PARK,,
4,4275,100,COLLEGE POINT PARK,25-01 ULMER STREET,PARKS,DEPT OF PARKS & RECREATION,V9,VACANT LAND/MISC,30,749,22473,,,,,,,7,19,DANIEL HALLORAN,PARK,,,4042750100,,,EDC,O,IN USE-TENANTED,,LONG-TERM AGREEMENT
4,4275,100,COLLEGE POINT PARK,25-01 ULMER STREET,PARKS,DEPT OF PARKS & RECREATION,V9,VACANT LAND/MISC,30,749,22473,,,,,,,7,19,DANIEL HALLORAN,PARK,,,4042750100,,,PARKS,O,PARK,,
4,4276,1,COLLEGE POINT INDUSTRIAL PARK,25 FARRINGTON STREET,PARKS,DEPT OF PARKS & RECREATION,V9,VACANT LAND/MISC,812,265,177970,I,,,,,,7,19,DANIEL HALLORAN,PARK,,,4042760001,,,PARKS,O,PARK,,
4,4277,1,COLLEGE POINT PARK,25-05 FARRINGTON STREET,PARKS,DEPT OF PARKS & RECREATION,V9,VACANT LAND/MISC,290,810,225000,I,,,,,,7,19,DANIEL HALLORAN,PARK,,,4042770001,,Y,PARKS,O,PARK,,
4,4278,1,FLUSHING AIRPORT,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,309,43,52500,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042780001,,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4278,1,FLUSHING AIRPORT,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,309,43,52500,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042780001,,,DSBS,O,NO USE-VACANT LAND,,
4,4278,17,FLUSHING AIRPORT,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,47,250,13148,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042780017,Y,,DSBS,O,NO USE-VACANT LAND,,
4,4278,17,FLUSHING AIRPORT,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,47,250,13148,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042780017,Y,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4278,34,,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,44,230,9500,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042780034,Y,,DSBS,O,NO USE-VACANT LAND,,
4,4278,34,,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,44,230,9500,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042780034,Y,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4278,36,FLUSHING AIRPORT,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,21,54,3450,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042780036,Y,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4278,36,FLUSHING AIRPORT,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,21,54,3450,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042780036,Y,,DSBS,O,NO USE-VACANT LAND,,
4,4278,60,FLUSHING AIRPORT,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,700,188400,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042780060,Y,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4278,60,FLUSHING AIRPORT,0  134 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,700,188400,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042780060,Y,,DSBS,O,NO USE-VACANT LAND,,
4,4280,1,FLUSHING AIRPORT,0  135 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,983,242857,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042800001,,,DSBS,O,NO USE-VACANT LAND,,
4,4280,1,FLUSHING AIRPORT,0  135 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,200,983,242857,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4042800001,,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4282,50,COLLEGE POINT INDUSTRIAL PARK,28TH AVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,85,236,11400,I,,,,,,7,,,M1-1,,CP,4042820050,Y,,DSBS,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
4,4282,50,COLLEGE POINT INDUSTRIAL PARK,28TH AVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,85,236,11400,I,,,,,,7,,,M1-1,,CP,4042820050,Y,,EDC,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
4,4282,75,COLLEGE POINT INDUSTRIAL PARK,28TH AVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,134,344,92200,I,,,,,,7,,,M2-1,,CP,4042820075,Y,,EDC,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
4,4282,75,COLLEGE POINT INDUSTRIAL PARK,28TH AVE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,134,344,92200,I,,,,,,7,,,M2-1,,CP,4042820075,Y,,DSBS,O,NO USE-VACANT LAND,,
4,4290,1,,119 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V9,VACANT LAND/MISC,400,225,95000,I,,,,,,7,19,DANIEL HALLORAN,R4,,,4042900001,Y,,DCAS,O,NO USE-VACANT LAND,,
4,4292,132,,119 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V9,VACANT LAND/MISC,17,59,5534,I,,,,,,7,19,DANIEL HALLORAN,R4,,,4042920132,Y,,DCAS,O,NO USE-VACANT LAND,,
4,4294,40,,124 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V9,VACANT LAND/MISC,8,11,100,,,,,,,7,19,DANIEL HALLORAN,M1-1,,,4042940040,,,DCAS,O,NO USE-VACANT LAND,,
4,4301,100,COLLEGE POINT INDUSTRIAL PARK,ULMER STREET,DOT,DEPT OF TRANSPORTATION,V9,VACANT LAND/MISC,30,30,1225,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043010100,,Y,DOT,O,ROAD/HIGHWAY,,
4,4302,1,COLLEGE POINT INDUSTRIAL PARK,26 ULMER STREET,EDC,ECONOMIC DEVELOPMENT CORPORATION,V9,VACANT LAND/MISC,213,460,36425,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043020001,,,EDC,O,NO USE-VACANT LAND,,
4,4304,1,COLLEGE PT-DRAINAGE POND,FARRINGTON STREET,EDC,ECONOMIC DEVELOPMENT CORPORATION,V9,VACANT LAND/MISC,261,460,120060,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043040001,,Y,EDC,O,NO USE-WFT (ANY AGY),FINAL COMMITMNT-DISP,
4,4305,1,FLUSHING AIRPORT,0 LINDEN PLACE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,143,500,110000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043050001,Y,,DSBS,O,NO USE-VACANT LAND,,
4,4305,1,FLUSHING AIRPORT,0 LINDEN PLACE,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,143,500,110000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043050001,Y,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4306,1,,0  135 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,181,265,48100,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043060001,Y,,DSBS,O,NO USE-VACANT LAND,,
4,4306,1,,0  135 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,181,265,48100,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043060001,Y,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4306,19,FLUSHING AIRPORT,0  135 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,10,440,20000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043060019,,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4306,19,FLUSHING AIRPORT,0  135 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,10,440,20000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043060019,,,DSBS,O,NO USE-VACANT LAND,,
4,4306,20,FLUSHING AIRPORT,0  135 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,190,145,27550,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043060020,,,EDC,O,NO USE-NON RES STRC,FINAL COMMITMNT-DISP,
4,4306,20,FLUSHING AIRPORT,0  135 STREET,DSBS,DEPT OF SMALL BUSINESS SERVICES,V9,VACANT LAND/MISC,190,145,27550,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043060020,,,DSBS,O,NO USE-VACANT LAND,,
4,4315,62,,119 STREET,DCAS,DEPT OF CITYWIDE ADMINISTRATIVE SERVICES,V9,VACANT LAND/MISC,100,200,42944,I,,,,,,7,19,DANIEL HALLORAN,M1-1,,,4043150062,Y,,DCAS,O,NO USE-VACANT LAND,,
4,4324,1,POLICE ACADEMY SITE+AUTO POUND,125 STREET,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,189,596,131815,I,,10,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043240001,,,DOT,O,ROAD/HIGHWAY,,
4,4324,1,POLICE ACADEMY SITE+AUTO POUND,125 STREET,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,189,596,131815,I,,10,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043240001,,,NYPD,O,TRAINING FACILITY,,
4,4325,1,POLICE ACADEMY SITE+AUTO POUND,126 STREET,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,189,595,121000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043250001,,,DOT,O,ROAD/HIGHWAY,,
4,4325,1,POLICE ACADEMY SITE+AUTO POUND,126 STREET,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,189,595,121000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043250001,,,NYPD,O,TRAINING FACILITY,,
4,4326,1,POLICE ACADEMY SITE+AUTO POUND,127 STREET,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,189,595,112935,,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043260001,,,DOT,O,ROAD/HIGHWAY,,
4,4326,1,POLICE ACADEMY SITE+AUTO POUND,127 STREET,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,189,595,112935,,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043260001,,,NYPD,O,TRAINING FACILITY,,
4,4364,71,COLLEGE POINT INDUSTRIAL PARK,BED OF ULMER STREET,DOT,DEPT OF TRANSPORTATION,V9,VACANT LAND/MISC,260,151,16200,I,,,,,,7,19,DANIEL HALLORAN,M1-1,,,4043640071,,,DOT,O,ROAD/HIGHWAY,,
4,4328,1,POLICE ACADEMY SITE+AUTO POUND,129 STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,V9,VACANT LAND/MISC,200,595,119000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043280001,,,DOT,O,ROAD/HIGHWAY,,
4,4328,1,POLICE ACADEMY SITE+AUTO POUND,129 STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,V9,VACANT LAND/MISC,200,595,119000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043280001,,,NYPD,O,TRAINING FACILITY,,
4,4328,1,POLICE ACADEMY SITE+AUTO POUND,129 STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,V9,VACANT LAND/MISC,200,595,119000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043280001,,,EDC,O,NO USE,FINAL COMMITMNT-DISP,
4,4329,1,POLICE ACADEMY SITE+AUTO POUND,130 STREET,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,375,190,91138,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043290001,,Y,NYPD,O,TRAINING FACILITY,,
4,4329,7,POLICE ACADEMY SITE+AUTO POUND,130 STREET,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,199,375,90570,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043290007,,Y,DOT,O,ROAD/HIGHWAY,,
4,4329,7,POLICE ACADEMY SITE+AUTO POUND,130 STREET,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,199,375,90570,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043290007,,Y,NYPD,O,TRAINING FACILITY,,
4,4329,10,POLICE ACADEMY SITE+AUTO POUND,130 STREET,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,339,30,10350,I,,,,,,7,,,M2-1,,CP,4043290010,,,NYPD,O,TRAINING FACILITY,,
4,4332,6,COLLEGE POINT INDUSTRIAL PARK,9 AVENUE,EDC,ECONOMIC DEVELOPMENT CORPORATION,V9,VACANT LAND/MISC,92,251,24849,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043320006,,,EDC,O,NO USE,FINAL COMMITMNT-DISP,
4,4334,50,COLLEGE POINT INDUSTRIAL PARK,WHITESTONE BRIDGE,EDC,ECONOMIC DEVELOPMENT CORPORATION,V9,VACANT LAND/MISC,105,264,28000,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043340050,,,EDC,O,NO USE,FINAL COMMITMNT-DISP,
4,4354,50,POLICE ACADEMY SITE+AUTO POUND,COLLEGE POINT BOULEVARD,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,120,91,13330,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043540050,,Y,NYPD,O,TRAINING FACILITY,,
4,4357,1,POLICE ACADEMY SITE+AUTO POUND,COLLEGE POINT BLVD,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,250,240,60000,,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043570001,,,NYPD,O,TRAINING FACILITY,,
4,4358,1,POLICE ACADEMY SITE+AUTO POUND,31ST AVENUE,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,50,635,82811,I,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043580001,,,NYPD,O,TRAINING FACILITY,,
4,4359,1,POLICE ACADEMY SITE+AUTO POUND,129 STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,V9,VACANT LAND/MISC,200,600,124700,I,200,200,20272,1,2,7,19,DANIEL HALLORAN,M2-1,,CP,4043590001,,,EDC,O,NO USE,FINAL COMMITMNT-DISP,
4,4359,1,POLICE ACADEMY SITE+AUTO POUND,129 STREET,JOINT,JOINT JURIS AMONG CITY AGENCIES,V9,VACANT LAND/MISC,200,600,124700,I,200,200,20272,1,2,7,19,DANIEL HALLORAN,M2-1,,CP,4043590001,,,NYPD,O,TRAINING FACILITY,,
4,4360,75,POLICE ACADEMY SITE+AUTO POUND,INTERIOR LOT,NYPD,POLICE DEPARTMENT,V9,VACANT LAND/MISC,260,35,,I,,,,,,7,,,M2-1,,CP,4043600075,,,NYPD,O,TRAINING FACILITY,,
4,4378,41,COLLEGE POINT INDUSTRIAL PARK,123 STREET,EDC,ECONOMIC DEVELOPMENT CORPORATION,V9,VACANT LAND/MISC,30,200,6000,,,,,,,7,19,DANIEL HALLORAN,M2-1,,CP,4043780041,,,EDC,O,NO USE-VACANT LAND,FINAL COMMITMNT-DISP,
